n,timeNs,comparisons,swaps,accesses,allocations, type
1,3400,0,0,1,1,random
1,700,0,0,1,1,sorted
1,700,0,0,1,1,reverse-sorted
1,900,0,0,1,1,nearly-sorted
1,700,0,0,1,1,random
1,1000,0,0,1,1,sorted
1,1000,0,0,1,1,reverse-sorted
1,1000,0,0,1,1,nearly-sorted
2,1000,2,0,2,1,random
2,2500,2,0,2,1,sorted
2,1000,2,0,2,1,reverse-sorted
2,1700,2,0,2,1,nearly-sorted
3,1100,4,0,3,1,random
3,1600,4,0,3,1,sorted
3,1200,4,0,3,1,reverse-sorted
3,2400,4,0,3,1,nearly-sorted
5,2700,8,0,5,1,random
5,3100,8,0,5,1,sorted
5,5100,8,0,5,1,reverse-sorted
5,2600,8,0,5,1,nearly-sorted
7,1600,12,0,7,1,random
7,1700,12,0,7,1,sorted
7,3100,12,0,7,1,reverse-sorted
7,1500,12,0,7,1,nearly-sorted
11,2100,20,0,11,1,random
11,5200,20,0,11,1,sorted
11,4600,20,0,11,1,reverse-sorted
11,2200,20,0,11,1,nearly-sorted
16,3200,30,0,16,1,random
16,4400,30,0,16,1,sorted
16,2300,30,0,16,1,reverse-sorted
16,6100,30,0,16,1,nearly-sorted
24,7900,46,0,24,1,random
24,9500,46,0,24,1,sorted
24,3100,46,0,24,1,reverse-sorted
24,8300,46,0,24,1,nearly-sorted
36,11500,70,0,36,1,random
36,6200,70,0,36,1,sorted
36,30000,70,0,36,1,reverse-sorted
36,1300,70,0,36,1,nearly-sorted
53,1500,104,0,53,1,random
53,1700,104,0,53,1,sorted
53,1700,104,0,53,1,reverse-sorted
53,1500,104,0,53,1,nearly-sorted
79,2100,156,0,79,1,random
79,2200,156,0,79,1,sorted
79,2200,156,0,79,1,reverse-sorted
79,2200,156,0,79,1,nearly-sorted
117,2700,232,0,117,1,random
117,3200,232,0,117,1,sorted
117,3300,232,0,117,1,reverse-sorted
117,2600,232,0,117,1,nearly-sorted
174,4200,346,0,174,1,random
174,20200,346,0,174,1,sorted
174,4900,346,0,174,1,reverse-sorted
174,4900,346,0,174,1,nearly-sorted
259,6400,516,0,259,1,random
259,4900,516,0,259,1,sorted
259,6500,516,0,259,1,reverse-sorted
259,41800,516,0,259,1,nearly-sorted
386,9100,770,0,386,1,random
386,7800,770,0,386,1,sorted
386,8900,770,0,386,1,reverse-sorted
386,7800,770,0,386,1,nearly-sorted
574,11000,1146,0,574,1,random
574,13500,1146,0,574,1,sorted
574,570500,1146,0,574,1,reverse-sorted
574,14900,1146,0,574,1,nearly-sorted
853,24800,1704,0,853,1,random
853,42600,1704,0,853,1,sorted
853,20100,1704,0,853,1,reverse-sorted
853,22400,1704,0,853,1,nearly-sorted
1269,28800,2536,0,1269,1,random
1269,33700,2536,0,1269,1,sorted
1269,50800,2536,0,1269,1,reverse-sorted
1269,423000,2536,0,1269,1,nearly-sorted
1887,49600,3772,0,1887,1,random
1887,44600,3772,0,1887,1,sorted
1887,137200,3772,0,1887,1,reverse-sorted
1887,42300,3772,0,1887,1,nearly-sorted
2807,15400,5612,0,2807,1,random
2807,10200,5612,0,2807,1,sorted
2807,10600,5612,0,2807,1,reverse-sorted
2807,7600,5612,0,2807,1,nearly-sorted
4175,14800,8348,0,4175,1,random
4175,12000,8348,0,4175,1,sorted
4175,13600,8348,0,4175,1,reverse-sorted
4175,16300,8348,0,4175,1,nearly-sorted
6210,24300,12418,0,6210,1,random
6210,22000,12418,0,6210,1,sorted
6210,19400,12418,0,6210,1,reverse-sorted
6210,17600,12418,0,6210,1,nearly-sorted
9237,35700,18472,0,9237,1,random
9237,32900,18472,0,9237,1,sorted
9237,29400,18472,0,9237,1,reverse-sorted
9237,25400,18472,0,9237,1,nearly-sorted
13738,45800,27474,0,13738,1,random
13738,43000,27474,0,13738,1,sorted
13738,44100,27474,0,13738,1,reverse-sorted
13738,37400,27474,0,13738,1,nearly-sorted
20434,76900,40866,0,20434,1,random
20434,65800,40866,0,20434,1,sorted
20434,74200,40866,0,20434,1,reverse-sorted
20434,59200,40866,0,20434,1,nearly-sorted
30392,109900,60782,0,30392,1,random
30392,1203800,60782,0,30392,1,sorted
30392,86400,60782,0,30392,1,reverse-sorted
30392,138600,60782,0,30392,1,nearly-sorted
45204,871000,90406,0,45204,1,random
45204,142300,90406,0,45204,1,sorted
45204,153800,90406,0,45204,1,reverse-sorted
45204,160100,90406,0,45204,1,nearly-sorted
67234,780200,134466,0,67234,1,random
67234,229600,134466,0,67234,1,sorted
67234,226200,134466,0,67234,1,reverse-sorted
67234,216300,134466,0,67234,1,nearly-sorted
100000,387800,199998,0,100000,1,random
100000,373200,199998,0,100000,1,sorted
100000,795100,199998,0,100000,1,reverse-sorted
100000,307400,199998,0,100000,1,nearly-sorted
