n,timeNs,comparisons,swaps,accesses,allocations, type
100,20200,198,0,100,1,random
100,105100,198,0,100,1,sorted
100,33100,198,0,100,1,reverse-sorted
100,26800,198,0,100,1,nearly-sorted
1000,299500,1998,0,1000,1,random
1000,349800,1998,0,1000,1,sorted
1000,515600,1998,0,1000,1,reverse-sorted
1000,366300,1998,0,1000,1,nearly-sorted
10000,447100,19998,0,10000,1,random
10000,235300,19998,0,10000,1,sorted
10000,236200,19998,0,10000,1,reverse-sorted
10000,222900,19998,0,10000,1,nearly-sorted
100000,870500,199998,0,100000,1,random
100000,788500,199998,0,100000,1,sorted
100000,659900,199998,0,100000,1,reverse-sorted
100000,308100,199998,0,100000,1,nearly-sorted
