n,timeNs,comparisons,swaps,accesses,allocations, type
100,25600,198,0,100,1,random
100,31500,198,0,100,1,sorted
100,34600,198,0,100,1,reverse-sorted
100,162600,198,0,100,1,nearly-sorted
1000,263800,1998,0,1000,1,random
1000,102100,1998,0,1000,1,sorted
1000,295200,1998,0,1000,1,reverse-sorted
1000,308800,1998,0,1000,1,nearly-sorted
10000,244900,19998,0,10000,1,random
10000,249400,19998,0,10000,1,sorted
10000,339700,19998,0,10000,1,reverse-sorted
10000,456200,19998,0,10000,1,nearly-sorted
100000,215600,199998,0,100000,1,random
100000,214200,199998,0,100000,1,sorted
100000,222900,199998,0,100000,1,reverse-sorted
100000,221800,199998,0,100000,1,nearly-sorted
